Status,Endereço,Bairro_Cidade,Quartos,Area,Garagem,Construtora,Bairro_Cidade ,Bairro,Valor_m2,Num_Dorms,Num_Dorms_Suites,Entrega,Dados,Título,Metragem,Vagas
Em Construção,São Paulo (SP),Local: 8.392 unidades residenciais -,N/A,38 e 39,N/A,Maximo Aldana,,,,,,,,,,
Breve Lançamento,"Rua Kara, 140",Local: Jardim do Mar - São Bernardo do Campo,2,59 e 65,N/A,Maximo Aldana,,,,,,,,,,
Breve Lançamento,"Avenida General San Martin, 132",Local: Ponta da Praia - Santos,"1, 2, 3 (2 Suítes)",55 a 96,1,Maximo Aldana,,,,,,,,,,
Em Construção,"Rua Kara x Av. Senador Vergueiro, 885",Local: Jardim do Mar - São Bernardo do Campo,2 ou 2 (1 Suíte),51 a 58,1,Maximo Aldana,,,,,,,,,,
Pronto para Morar,"Rua Piracicaba, 113",Local: Barra Funda - Guarujá,3 Suítes,142 e 290,2 e 3,Maximo Aldana,,,,,,,,,,
Pronto para Morar,"Rua Estrela Rodrigues, 370, Jardim Las Palmas - Guarujá (SP)",Local: Guarujá,3 (1 Suíte),"112 e 424,2",2,Maximo Aldana,,,,,,,,,,
Pronto para Morar,"Avenida Presidente Arthur Bernardes, 488",Local: Caminho do Mar - São Bernardo do Campo,3 (1 Suíte),77,2,Maximo Aldana,,,,,,,,,,
Pronto para Morar,"Rua Campos de Jordão, 351",Local: Baeta Neves - São Bernardo do Campo,2 (1 Suíte),"58, 64, 72 e 90",2,Maximo Aldana,,,,,,,,,,
Pronto para Alugar,"Rua Amparo, 315/319",Local: Baeta Neves - São Bernardo do Campo,N/A,Salas de 32 a 81,1,Maximo Aldana,,,,,,,,,,
Lançamento,,,3 Dorm(s) / 1 suíte(s),70 m²,,MBigucci,São Bernardo do Campo,Rudge Ramos,,,,,,,,
Lançamento,,,2 a 3 Dorm(s) / 1 a 2 suíte(s),56 a 85 m²,,MBigucci,São Paulo,Ipiranga,,,,,,,,
Lançamento,,,1 Dorm(s),20 a 48 m²,,MBigucci,São Bernardo do Campo,Centro,,,,,,,,
Em construção,,,"1, 2 Dorm(s) / 1 suíte(s)","37 a 50,18 m²",,MBigucci,Santo André,Santa Terezinha,,,,,,,,
Em construção,,,1 ou 2 Dorm(s),"38,71 a 53,54 m²",,MBigucci,São Vicente,Centro,,,,,,,,
Em construção,,,3 Dorm(s) / 3 suíte(s),103 m²,,MBigucci,São Paulo,Ipiranga,,,,,,,,
Em construção,,,2 Dorm(s) / 1 suíte(s),56 a 63 m²,,MBigucci,São Paulo,Aclimação,,,,,,,,
Em construção,,,2 Dorm(s) / 1 suíte(s),"56,79 e 61,06 m²",,MBigucci,Santo André,Campestre,,,,,,,,
Em construção,,,2 Dorm(s),"43,60 e 44,86 m²",,MBigucci,São Bernardo do Campo,Cooperativa,,,,,,,,
Em construção,,,2 e 3 Dorm(s) / 1 suíte(s),71 a 82 m²,,MBigucci,São Bernardo do Campo,Rudge Ramos,,,,,,,,
Em construção,,,2 Dorm(s) / 1 suíte(s),"58,24 m²",,MBigucci,São Bernardo do Campo,Vila Gonçalves,,,,,,,,
Pronto para morar,,,2 Dorm(s),"43,77 a 44,36 m²",,MBigucci,Guarulhos,Jardim Diogo,,,,,,,,
Pronto para morar,,,1 e 2 Dorm(s),37 e 48 m²,,MBigucci,São Paulo,Jabaquara,,,,,,,,
Pronto para morar,,,1 Dorm(s),"34,72 a 78,66 m²",,MBigucci,São Paulo,Aclimação,,,,,,,,
Pronto para morar,,,2 Dorm(s),"37,88 e 39,58 m²",,MBigucci,São Paulo,Itaquera,,,,,,,,
Pronto para morar,,,"1, 2 Dorm(s)",37 a 50 m²,,MBigucci,Santo André,Santa Terezinha,,,,,,,,
Pronto para morar,,,2 Dorm(s) / 2 suíte(s),67 m²,,MBigucci,São Bernardo do Campo,Nova Petrópolis,,,,,,,,
Pronto para morar,,,1 e 2 Dorm(s),36 e 54 m²,,MBigucci,São Bernardo do Campo,Rudge Ramos,,,,,,,,
Pronto para morar,,,2 Dorm(s),"43,77 a 44,36 m²",,MBigucci,Guarulhos,Jardim Diogo,,,,,,,,
Pronto para morar,,,2 e 3 Dorm(s),"43,77 a 53,54 m²",,MBigucci,São Bernardo do Campo,Pauliceia,,,,,,,,
Pronto para morar,,,"2, 3 Dorm(s) / 1 suíte(s)",50 a 61 m²,,MBigucci,Santo André,Parque Jaçatuba,,,,,,,,
Pronto para morar,,,2 e 3 Dorm(s) / 1 suíte(s),68 a 120 m²,,MBigucci,São Paulo,Ipiranga,,,,,,,,
Pronto para morar,,,2 ou 3 Dorm(s) / 1 suíte(s),"43, 50 e 58 m²",,MBigucci,São Paulo,Água Funda,,,,,,,,
Pronto para morar,,,2 e 3 Dorm(s) / 1 suíte(s),65 e 83 m²,,MBigucci,São Bernardo do Campo,Jardim do Mar,,,,,,,,
